Alpha,Trial,Steps,Pings
0.0,1,101,101
0.0,2,101,101
0.0,3,101,101
0.0,4,101,101
0.0,5,101,101
0.0,6,101,101
0.0,7,101,101
0.0,8,101,101
0.0,9,101,101
0.0,10,101,101
0.0,11,101,101
0.0,12,101,101
0.0,13,101,101
0.0,14,101,101
0.0,15,101,101
0.0,16,101,101
0.0,17,101,101
0.0,18,101,101
0.0,19,101,101
0.0,20,101,101
0.0,21,101,101
0.0,22,101,101
0.0,23,101,101
0.0,24,101,101
0.0,25,101,101
0.0,26,101,101
0.0,27,101,101
0.0,28,101,101
0.0,29,101,101
0.0,30,101,101
0.0,31,101,101
0.0,32,101,101
0.0,33,101,101
0.0,34,101,101
0.0,35,101,101
0.0,36,101,101
0.0,37,101,101
0.0,38,101,101
0.0,39,101,101
0.0,40,101,101
0.0,41,101,101
0.0,42,101,101
0.0,43,101,101
0.0,44,101,101
0.0,45,101,101
0.0,46,101,101
0.0,47,101,101
0.0,48,101,101
0.0,49,101,101
0.0,50,101,101
0.0,51,101,101
0.0,52,101,101
0.0,53,101,101
0.0,54,101,101
0.0,55,101,101
0.0,56,101,101
0.0,57,101,101
0.0,58,101,101
0.0,59,101,101
0.0,60,101,101
0.0,61,101,101
0.0,62,101,101
0.0,63,101,101
0.0,64,101,101
0.0,65,101,101
0.0,66,101,101
0.0,67,101,101
0.0,68,101,101
0.0,69,101,101
0.0,70,101,101
0.0,71,101,101
0.0,72,101,101
0.0,73,101,101
0.0,74,101,101
0.0,75,101,101
0.0,76,101,101
0.0,77,101,101
0.0,78,101,101
0.0,79,101,101
0.0,80,101,101
0.0,81,101,101
0.0,82,101,101
0.0,83,101,101
0.0,84,101,101
0.0,85,101,101
0.0,86,101,101
0.0,87,101,101
0.0,88,101,101
0.0,89,101,101
0.0,90,101,101
0.0,91,101,101
0.0,92,101,101
0.0,93,101,101
0.0,94,101,101
0.0,95,101,101
0.0,96,101,101
0.0,97,101,101
0.0,98,101,101
0.0,99,101,101
0.0,100,101,101
0.05,1,89,36
0.05,2,101,69
0.05,3,69,39
0.05,4,101,63
0.05,5,91,44
0.05,6,92,71
0.05,7,86,54
0.05,8,62,51
0.05,9,101,53
0.05,10,101,49
0.05,11,101,45
0.05,12,53,47
0.05,13,58,33
0.05,14,68,51
0.05,15,78,28
0.05,16,101,87
0.05,17,51,16
0.05,18,65,43
0.05,19,101,79
0.05,20,101,68
0.05,21,94,51
0.05,22,101,50
0.05,23,101,80
0.05,24,73,55
0.05,25,101,42
0.05,26,101,38
0.05,27,101,59
0.05,28,101,70
0.05,29,52,47
0.05,30,101,54
0.05,31,69,56
0.05,32,101,33
0.05,33,101,75
0.05,34,101,77
0.05,35,101,74
0.05,36,101,66
0.05,37,44,33
0.05,38,101,70
0.05,39,101,58
0.05,40,101,61
0.05,41,101,62
